stimulus,pronoun,desc,decisionThis,decisionOther,pot,respTimer,e_amusement,e_annoyance,e_confusion,e_contempt,e_devastation,e_disappointment,e_disgust,e_embarrassment,e_envy,e_excitement,e_fury,e_gratitude,e_guilt,e_joy,e_pride,e_regret,e_relief,e_respect,e_surprise,e_sympathy,gender,subjectId,Data_Set,HITID
244_2,this person,,Stole,Split,1090,28.936,11,6,4,28,5,4,3,29,3,3,9,4,32,9,19,13,2,3,5,21,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Split,Split,27293,37.458,10,2,6,16,6,25,7,4,8,13,7,33,13,17,2,6,25,33,16,3,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Split,Split,694,23.482,15,5,6,14,1,3,1,5,1,12,4,27,5,15,3,2,38,3,7,3,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Stole,Split,138238,25.577,4,3,25,32,11,1,3,30,3,4,0,3,27,0,3,27,15,1,25,18,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Stole,124,18.291,5,35,4,25,4,34,5,31,6,4,5,4,4,3,4,4,5,4,28,5,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Stole,61430,20.721,18,28,3,2,27,38,28,3,6,5,29,4,4,5,18,28,3,4,4,1,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Stole,1582,17.465,3,24,3,2,33,44,0,1,1,3,2,2,21,3,3,28,3,4,2,2,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Stole,12121,14.482,3,27,2,26,2,31,23,27,7,0,2,2,27,1,0,2,2,0,2,1,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Stole,Split,5378,13.875,23,2,2,33,2,3,2,3,3,3,17,4,26,2,3,2,2,2,2,2,male,a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,80.472,34,0,0,0,0,0,0,33,0,48,0,33,34,38,0,30,35,0,48,30,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Split,138238,46.282,36,0,0,0,0,0,0,0,0,36,0,48,0,48,36,0,48,48,38,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Stole,Stole,1582,70.696,0,48,0,27,48,48,34,34,0,0,27,0,0,0,0,0,0,0,37,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Split,Stole,124,54.928,0,48,0,39,37,48,37,0,39,0,37,0,0,0,0,37,0,0,32,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Split,694,58.131,35,0,0,0,0,0,0,35,0,36,0,31,36,48,0,29,39,0,39,31,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Split,27293,54.364,48,0,0,0,0,0,0,30,0,48,0,48,31,48,0,0,48,0,48,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Stole,Stole,61430,63.446,0,48,0,48,48,48,32,48,0,0,39,0,0,0,0,48,0,0,31,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Split,5378,34.063,48,0,0,0,0,0,0,0,0,48,0,48,0,48,48,0,48,48,48,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Split,Stole,12121,49.912,0,48,0,48,48,48,48,31,48,0,48,0,0,0,24,48,0,0,19,0,male,46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,33.947,38,21,2,39,2,1,30,2,8,39,17,3,7,32,24,2,23,5,7,2,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Split,Stole,124,31.836,12,5,17,4,8,6,6,37,20,13,3,23,4,13,34,20,37,34,22,40,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Split,Split,138238,33.509,24,38,20,31,9,15,27,20,35,32,11,29,13,16,24,16,24,34,27,19,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Split,Split,5378,23.578,17,23,27,14,17,17,19,33,35,18,18,27,19,16,34,12,35,35,31,33,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Stole,Stole,1582,27.156,4,37,38,39,29,32,33,23,15,14,30,0,15,3,3,32,16,3,32,30,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Stole,Split,27293,32.095,11,25,30,24,33,27,36,19,24,11,13,11,33,12,9,21,20,4,13,4,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Split,Stole,12121,29.436,14,29,14,21,24,32,16,24,24,24,19,23,16,12,34,24,24,34,25,24,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Stole,Stole,61430,33.188,7,48,21,48,36,12,38,34,24,8,17,3,13,7,3,32,14,2,12,0,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Stole,Split,694,27.934,35,17,6,29,10,0,27,13,20,37,11,8,10,36,38,0,31,23,14,26,male,101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,16.085,17,18,16,18,30,31,19,23,21,21,34,24,29,32,31,17,28,29,28,31,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Stole,Split,12121,16.866,22,18,21,19,28,27,23,18,19,21,29,20,27,29,32,20,31,28,29,29,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Split,Stole,138238,17.641,22,22,21,18,29,28,19,21,21,17,28,22,29,30,31,19,30,28,29,29,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Stole,Split,124,18.546,20,20,30,16,20,31,31,29,27,30,29,30,21,22,29,30,23,28,21,18,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Stole,Stole,27293,16.944,16,20,17,15,26,26,20,17,16,20,29,21,28,28,28,21,32,34,28,27,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Split,Stole,5378,17.969,21,21,17,21,28,32,19,18,19,22,31,21,27,29,28,19,29,28,28,27,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Split,Split,1582,25.297,22,20,20,19,28,27,19,19,22,21,28,19,27,28,28,20,30,26,29,30,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Split,Split,61430,17.686,20,20,22,13,32,30,17,20,21,20,30,17,29,28,33,19,31,28,30,31,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Stole,Stole,694,15.208,19,20,14,21,29,32,18,18,20,20,28,22,29,28,32,21,29,28,33,30,male,cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,126.422,36,1,10,1,1,1,1,26,1,43,1,36,26,46,27,1,43,10,10,16,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Split,Stole,27293,91.441,2,28,37,39,43,47,39,43,37,11,43,2,26,2,1,43,2,2,43,1,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Split,12121,76.217,9,1,2,1,1,1,1,1,9,47,1,39,1,47,39,9,47,39,39,1,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Stole,Stole,5378,103.609,1,38,27,1,27,47,20,10,9,26,43,1,27,1,1,37,1,1,37,1,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Split,124,95.93,9,1,1,1,1,1,1,1,1,43,1,46,1,46,39,1,43,38,26,1,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Split,Stole,694,95.688,1,38,42,10,27,42,27,32,38,27,26,1,10,1,1,43,1,1,46,1,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Split,1582,73.322,2,2,9,2,2,2,2,27,2,44,2,38,28,38,38,2,38,2,38,28,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Stole,Stole,138238,72.321,2,42,42,10,38,46,38,42,2,38,27,2,42,2,10,42,2,2,42,10,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Split,61430,83.626,26,3,3,2,2,2,2,9,3,46,2,26,2,46,26,2,43,3,38,2,female,d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,19.338,37,38,37,32,44,30,34,34,30,32,29,36,35,31,36,46,30,35,36,35,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Split,5378,21.401,33,38,33,32,32,31,29,35,31,32,36,38,36,37,27,33,36,33,33,28,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Split,Stole,1582,45.563,39,35,42,29,35,33,41,36,42,30,33,32,33,33,38,30,34,40,41,34,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Split,138238,23.068,28,38,29,43,42,33,37,38,36,37,37,38,33,38,37,27,33,27,34,45,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Stole,Stole,124,20.817,37,37,41,37,38,42,37,35,37,37,36,36,35,36,37,36,36,39,36,32,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Stole,Stole,12121,26.715,36,36,38,37,42,34,36,43,36,38,35,36,39,42,35,39,37,38,38,34,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Split,694,34.251,36,43,35,37,37,34,39,39,37,34,38,35,42,38,38,30,43,36,34,36,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Split,27293,25.477,36,45,37,39,38,36,36,39,37,37,38,44,39,44,32,37,38,37,37,30,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Split,Stole,61430,21.153,36,40,38,43,42,36,35,43,35,39,37,39,37,40,33,37,37,36,37,32,male,86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,105.627,41,8,4,11,1,0,7,18,0,39,10,12,43,32,37,21,32,9,0,5,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Split,Stole,694,80.521,3,45,26,38,30,42,44,35,23,0,22,5,0,3,16,27,6,5,33,0,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Stole,Split,61430,51.794,23,0,14,6,0,0,6,17,0,45,0,26,30,48,24,3,47,6,42,9,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Stole,Stole,138238,64.32,2,41,5,38,45,45,17,43,19,0,7,4,7,0,0,7,2,4,45,4,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Split,Stole,27293,106.024,0,33,43,26,39,48,38,8,22,0,15,0,0,2,36,14,3,1,38,0,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Stole,Split,1582,138.095,1,0,0,5,0,0,4,2,0,22,4,18,19,30,16,4,13,3,3,0,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Stole,Stole,5378,79.569,22,39,2,43,18,37,36,7,0,0,28,1,0,11,31,0,3,4,14,5,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Split,Split,12121,61.56,10,0,1,2,0,0,0,0,0,36,0,42,0,43,33,0,48,40,37,19,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Split,Split,124,52.265,16,0,0,0,0,0,0,0,0,24,0,24,0,30,19,0,22,36,16,13,male,ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,14.539,15,15,27,31,19,28,29,18,29,28,20,30,18,25,19,29,17,18,16,29,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Split,Split,694,17.624,27,21,28,29,20,34,18,20,31,27,21,27,20,32,20,27,30,17,19,30,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Stole,12121,12.761,29,30,21,19,29,23,19,26,16,21,27,17,30,20,31,19,31,28,32,20,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Stole,Split,5378,11.976,30,31,22,20,30,23,19,30,21,18,28,16,30,22,28,21,30,29,29,22,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Stole,61430,16.139,30,23,17,28,28,22,20,19,24,29,20,30,22,17,24,21,27,29,27,29,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Split,Split,27293,12.772,29,32,20,19,29,23,18,29,19,20,26,19,28,20,28,19,31,26,27,23,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Stole,1582,14.952,31,28,17,18,29,30,22,27,18,17,26,19,28,20,27,21,28,28,25,19,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Stole,124,14.687,28,28,16,18,29,22,19,30,18,17,28,17,27,17,29,18,28,29,32,17,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Stole,Split,138238,11.633,33,30,20,20,23,30,22,31,29,21,26,29,18,31,33,23,33,30,21,24,male,36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,25.079,25,28,28,26,28,24,26,25,24,28,28,29,26,27,27,27,29,26,24,28,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Stole,27293,34.248,28,27,29,26,26,29,28,27,27,26,28,27,25,28,28,28,27,26,26,29,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Stole,Split,61430,18.674,29,30,31,27,28,29,30,29,26,27,28,27,28,28,28,26,25,29,29,28,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Stole,Split,1582,24.561,30,26,27,28,27,28,27,26,28,27,26,28,26,27,27,27,28,26,26,28,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Stole,694,18.31,28,28,28,29,28,27,31,27,28,29,27,28,30,28,26,28,29,27,28,29,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Stole,5378,17.69,33,32,36,35,35,36,34,32,35,31,33,34,32,35,33,34,32,36,33,36,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Stole,138238,19.622,27,28,29,33,29,28,33,35,30,31,28,32,32,30,29,29,29,27,26,29,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Split,Split,12121,14.6,32,29,31,30,29,33,30,30,31,33,29,31,35,34,30,31,33,30,29,33,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Split,Split,124,17.733,32,31,31,28,29,33,31,31,31,30,27,28,30,29,30,32,31,32,31,32,male,c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,28.838,35,35,35,34,37,34,31,34,32,36,34,34,35,33,34,37,33,33,32,33,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
275_1,this person,,Stole,Stole,124,18.583,37,42,38,36,38,36,38,35,37,40,38,32,43,36,37,38,37,34,36,38,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
271_1,this person,,Stole,Stole,12121,20.754,43,33,37,31,28,34,34,37,34,31,35,31,28,39,33,29,33,32,40,35,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
272_1,this person,,Split,Split,27293,20.653,34,29,35,33,27,31,36,30,34,31,28,28,38,33,30,33,29,30,34,35,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
250_1,this person,,Stole,Split,5378,16.176,42,38,35,35,30,35,41,36,35,43,36,32,39,35,30,42,34,34,44,35,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
283_1,this person,,Split,Stole,61430,24.241,39,31,44,35,31,35,31,36,34,31,39,33,33,37,35,35,38,36,41,33,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
288_1,this person,,Split,Stole,1582,18.133,36,34,36,27,27,28,28,36,35,29,33,28,32,42,28,27,28,28,38,34,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_1,this person,,Stole,Split,138238,20.855,40,41,43,40,34,38,42,45,43,38,37,34,39,44,35,42,33,33,38,42,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
286_1,this person,,Split,Split,694,19.129,37,33,36,35,34,37,36,31,33,35,31,34,33,38,38,38,38,37,36,31,male,7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L
244_2,this person,,Stole,Split,1090,33.227,25,8,16,8,8,8,9,12,7,36,8,28,42,42,10,13,35,12,28,15,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
272_1,this person,,Split,Split,1582,26.978,29,12,13,10,8,11,9,9,10,32,9,30,11,29,37,8,27,39,28,31,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
288_1,this person,,Split,Stole,138238,23.617,10,37,24,38,36,35,39,38,39,11,39,10,11,10,10,39,9,8,30,11,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
250_1,this person,,Stole,Split,124,23.536,34,12,12,10,10,11,11,35,10,33,11,27,35,31,35,10,34,13,28,34,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
283_1,this person,,Split,Stole,5378,24.042,9,36,13,37,21,30,36,10,35,18,36,12,9,12,14,35,22,11,29,11,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
286_1,this person,,Split,Split,61430,18.799,13,14,9,10,12,12,11,13,9,38,11,37,26,35,38,11,28,34,35,35,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
275_1,this person,,Stole,Stole,27293,28.257,39,33,29,37,24,37,36,39,22,12,34,13,35,11,12,31,10,9,32,14,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
244_1,this person,,Stole,Split,12121,24.515,31,12,15,27,13,14,11,36,9,38,13,35,36,32,13,13,37,12,33,37,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
271_1,this person,,Stole,Stole,694,24.85,11,31,15,12,23,31,32,38,10,14,35,14,31,15,11,13,15,13,30,12,,9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
244_2,this person,,Stole,Split,1090,51.504,24,24,23,23,24,24,24,24,24,25,25,23,23,23,24,23,23,25,23,24,male,348addebb8769fb183150fb7cfa318bfaa0cfbe1caa9d50f870c0c9b,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
275_1,this person,,Split,Split,5378,17.535,25,26,24,24,24,26,25,23,23,24,24,24,25,25,25,24,25,24,25,25,male,348addebb8769fb183150fb7cfa318bfaa0cfbe1caa9d50f870c0c9b,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE
