Variable,Data included in analyses,Data Type,Description
subjectId,Yes,Participant data - generated by experiment webapp,Participant identifier
randCondNum,Yes,Participant data - generated by experiment webapp,Condition number - determines which stimuli participant responded to
validationRadio,No,Participant data - generated by experiment webapp,Summary of validation radios (not used)
subjectValidation1,No,Participant data - generated by experiment webapp,Summary of validation radios (not used)
expTime_min,No,Participant data - generated by experiment webapp,How long participant took to finish the experiment (minutes)
minRespTime_sec,No,Participant data - generated by experiment webapp,The least time participant took in responding to a trial (seconds)
iwould_large,No,Participant response - choice from array,«Imagine that you are a contestant on this game show and that the jackpot is large. What choice would you make?»
iwould_small,No,Participant response - choice from array,«Now imagine that you are a contestant on this game show and that the jackpot is $20. What choice would you make?»
iexpectOther_large,No,Participant response - choice from array,«What do you think the other contestant will choose (and how confident are you)?»
iexpectOther_small,No,Participant response - choice from array,«What do you think the other contestant will choose (and how confident are you)?»
dem_gender,No,Participant response - choice from array,«What is your gender?»
dem_language,No,Participant response - free response,«What is your first language?»
val_recognized,Yes,Participant response - free response,"«Did you recognize any of the videos or images from this HIT and, if so, from where?»"
val_familiar,Yes,Participant response - free response,«Did you understand all of the emotions labels? Which ones were you least familiar with?»
val_feedback,Yes,Participant response - free response,«Do you have any feedback for us about this HIT?»
Data_Set,Yes,Participant data - generated by experiment webapp,Experiment tracking
HITID,Yes,Participant data - generated by experiment webapp,mTurk HIT Id
val0(7510),Yes,Participant response - choice from array,"«According to the host in this video, how large was this particular jackpot for these contestants? (You can replay the video if you'd like to hear the rules explained again.)»"
val1(disdain),Yes,Participant response - choice from array,«Which of these emotions is most similar to feeling contempt?»
val2(jealousy),Yes,Participant response - choice from array,«Which of these emotions is most similar to feeling envy?»
val3(AF25HAS),Yes,Participant response - choice from array,«Which of these people is feeling the most joy»
val4(steal),Yes,Participant response - choice from array,"«Imagine that when this player learns the outcome of the game, she experiences the emotion shown on the slider (Devastation) at the specified level. What decision did the other player probably make?»"
val5(pia2_D_a2_C),No,Participant response - choice from array,"«Imagine a player, Roger, is in the final round with another player, Julia. Roger chose to Split. In which condition do you expect that Roger would feel the most Joy?»"
val6(pia2_D_a2_C),No,Participant response - choice from array,"«Imagine a player, Amanda, is in the final round with another player, Frank. Amanda chose to Split. In which condition do you expect that Amanda would feel the most Relief?»"
Excluded,Yes,Participant data - generated by experimenter,Participant manually excluded based on a free response answer
Notes,No,Participant data - generated by experimenter,Experimenter note about participant 
